"master_id","total_revenue","avg_revenue_per_order"
"5d1c466a-9cfd-11e9-9897-000d3a38a36f","45905.10","227.25"
"d5ef8058-a5c6-11e9-a2fc-000d3a38a36f","36818.29","541.45"
"73fd19aa-9e37-11e9-9897-000d3a38a36f","33918.10","413.64"
"7137a5c0-7aad-11ea-8f20-000d3a38a36f","31227.41","2838.86"
"47a642fe-975b-11eb-8c2a-000d3a38a36f","20706.34","5176.59"
"a4d534a2-5b1b-11eb-8dbd-000d3a38a36f","18443.57","263.48"
"d696c654-2633-11ea-8e1c-000d3a38a36f","16918.57","241.69"
"fef57ffa-aae6-11e9-a2fc-000d3a38a36f","12726.10","343.95"
"cba59206-9dd1-11e9-9897-000d3a38a36f","12282.24","93.76"
"fc0ce7a4-9d87-11e9-9897-000d3a38a36f","12103.15","605.16"
"a57f4302-b1a8-11e9-89fa-000d3a38a36f","10383.44","93.54"
"21d218f4-a91a-11e9-a2fc-000d3a38a36f","10221.68","464.62"
"625f40a2-5bd2-11ea-98b0-000d3a38a36f","9953.31","622.08"
"90d628b6-1928-11ea-b6a2-000d3a38a36f","8747.71","273.37"
"0e8c7b30-ac18-11e9-a2fc-000d3a38a36f","8617.32","179.53"
"fdbe8304-a7ab-11e9-a2fc-000d3a38a36f","8572.23","97.41"
"695889b4-d6ed-11e9-93bc-000d3a38a36f","8246.53","175.46"
"f7e2335e-a7c4-11e9-a2fc-000d3a38a36f","7953.47","130.38"
"7eed6468-4540-11ea-acaf-000d3a38a36f","7823.63","289.76"
"f59053e2-a503-11e9-a2fc-000d3a38a36f","7745.27","1106.47"
"a1f47852-aa90-11e9-a2fc-000d3a38a36f","7403.35","246.78"
"e205f2ee-acdf-11e9-a2fc-000d3a38a36f","7247.97","147.92"
"8da3ff88-a934-11e9-a2fc-000d3a38a36f","7196.42","167.36"
"9d71d5e2-ada9-11e9-a2fc-000d3a38a36f","7190.92","163.43"
"55d54d9e-8ac7-11ea-8ec0-000d3a38a36f","7084.43","228.53"
"e143b6fa-d6f8-11e9-93bc-000d3a38a36f","7048.00","176.20"
"bdf7a804-b1dd-11e9-89fa-000d3a38a36f","6844.21","380.23"
"7a551e1c-9ed5-11e9-9897-000d3a38a36f","6840.54","136.81"
"7af5cd16-b100-11e9-9757-000d3a38a36f","6755.84","157.11"
"c430fc0e-27ce-11ea-aaaa-000d3a38a36f","6687.08","257.20"
"2da98f66-b150-11e9-9757-000d3a38a36f","6518.73","197.54"
"2f1797c8-a0e6-11e9-a2fc-000d3a38a36f","6284.78","285.67"
"f24f6988-acd9-11e9-a2fc-000d3a38a36f","6275.68","110.10"
"00cf8494-9da2-11e9-9897-000d3a38a36f","6275.33","118.40"
"9bf5a2a2-9e8b-11e9-9897-000d3a38a36f","6249.44","446.39"
"6083756a-66a3-11ea-82da-000d3a38a36f","6157.16","125.66"
"ec236462-9d8c-11e9-9897-000d3a38a36f","6090.53","126.89"
"2e57f772-b21d-11e9-b5cf-000d3a38a36f","6075.35","264.15"
"a665d39e-a0d2-11e9-a2fc-000d3a38a36f","6023.28","172.09"
"fdd08240-244a-11ea-a30f-000d3a38a36f","5991.94","315.37"
"c6d37a18-a9a2-11e9-a2fc-000d3a38a36f","5881.74","178.23"
"b95511d4-aa3e-11e9-a2fc-000d3a38a36f","5840.32","530.94"
"e31293ac-d63a-11e9-93bc-000d3a38a36f","5816.69","727.09"
"3339434a-b173-11e9-89fa-000d3a38a36f","5769.03","250.83"
"dbabb58e-6312-11ea-a6dc-000d3a38a36f","5747.50","442.12"
"8f364236-a6ad-11e9-a2fc-000d3a38a36f","5739.76","95.66"
"8aa34b16-abb6-11e9-a2fc-000d3a38a36f","5714.41","272.11"
"3cd8715a-afc5-11e9-9757-000d3a38a36f","5644.74","201.60"
"53206d4c-190f-11ea-9213-000d3a38a36f","5576.47","146.75"
"ce9a44fe-2a83-11ea-b3a7-000d3a38a36f","5548.32","163.19"
"16ef5a7e-b120-11e9-9757-000d3a38a36f","5483.03","161.27"
"97ca1964-aaa3-11e9-a2fc-000d3a38a36f","5464.52","136.61"
"15e5ea24-a7d1-11e9-a2fc-000d3a38a36f","5402.42","131.77"
"76f5a0e0-aff9-11e9-9757-000d3a38a36f","5375.79","335.99"
"630c89a2-a15f-11e9-a2fc-000d3a38a36f","5331.03","533.10"
"ca86fbaa-b120-11e9-9757-000d3a38a36f","5320.59","221.69"
"b27e241a-a901-11e9-a2fc-000d3a38a36f","5297.88","70.64"
"9d9c2088-ac1c-11e9-a2fc-000d3a38a36f","5261.91","202.38"
"44d032ee-a0d4-11e9-a2fc-000d3a38a36f","5184.05","67.33"
"97ddd72a-fee9-11e9-a5e8-000d3a38a36f","5126.92","189.89"
"a18e045e-acc6-11e9-a2fc-000d3a38a36f","5125.91","183.07"
"e626cea6-a7ae-11e9-a2fc-000d3a38a36f","5118.01","142.17"
"f8dac5f0-a2ba-11e9-a2fc-000d3a38a36f","5094.36","242.59"
"f2964aa8-ac69-11e9-a2fc-000d3a38a36f","5041.82","360.13"
"1e4fcad2-a57d-11e9-a2fc-000d3a38a36f","5001.79","294.22"
"8133d6f2-ee07-11e9-9346-000d3a38a36f","4974.02","292.59"
"9c49d80e-aabb-11e9-a2fc-000d3a38a36f","4970.81","248.54"
"b3ce8ffa-9eb9-11e9-9897-000d3a38a36f","4969.08","184.04"
"e70a6778-b128-11e9-9757-000d3a38a36f","4960.56","97.27"
"4dffe7d8-44b2-11ea-8b43-000d3a38a36f","4898.65","306.17"
"27310582-6362-11ea-a6dc-000d3a38a36f","4897.55","168.88"
"fac5ea30-a7eb-11e9-a2fc-000d3a38a36f","4876.76","375.14"
"1d84198c-6bed-11ea-8792-000d3a38a36f","4873.14","203.05"
"8fd88976-6708-11ea-9d38-000d3a38a36f","4859.39","694.20"
"1d033d3a-b090-11e9-9757-000d3a38a36f","4847.92","95.06"
